"Player","Position","Team","Mean","StdDev","Freq","MAD","Median"
"GregLittle","WR","CLE",139.157894736842,6.11440949480929,0.910179640718563,2.2239,135.5
"SteveBreaston","WR","KC",139.514705882353,7.43917378121985,0.81437125748503,4.4478,144
"DeionBranch","WR","NE",139.742647058824,7.78109249057425,0.81437125748503,5.9304,144
"RonnieBrown","RB","PHI",141.236559139785,12.7528226663598,0.55688622754491,2.9652,148
"AaronHernandez","TE","NE",142.021739130435,8.57893140820189,0.275449101796407,5.9304,146
"BrentCelek","TE","PHI",142.03305785124,4.55160808987618,0.724550898203593,2.9652,145
"GregOlsen","TE","CAR",142.1,5.02296402513151,0.359281437125749,4.4478,140
"DarrenSproles","RB","NO",142.804347826087,3.53035397793,0.550898203592814,2.9652,143
"DustinKeller","TE","NYJ",143,0,0.0898203592814371,0,143
"MasonCrosby","PK","GB",143.912087912088,6.16080176155541,0.544910179640719,2.9652,147
"MikeWilliams","WR","SEA",144.18691588785,5.50646922002003,0.640718562874252,5.9304,144
"MontarioHardesty","RB","CLE",144.491803278689,3.45277218207455,0.365269461077844,4.4478,143
"MarionBarber","RB","CHI",147,1.63907509412446,0.269461077844311,2.9652,147
"AnthonyDixon","RB","SF",148,0,0.0898203592814371,0,148
"NeilRackers","PK","HOU",149,0,0.0898203592814371,0,149
"StephenGostkowski","PK","NE",150,0,0.179640718562874,0,150
