PLAYER,POSITION,ROUND-PICK (OVR),HEIGHT,WEIGHT,D.O.B.,COLLEGE
Hakeem Nicks,WR,Rd 1-Pick 29 (29),,,,
Clint Sintim,OLB,Rd 2-Pick 13 (45),,,,
William Beatty,OT,Rd 2-Pick 28 (60),,,,
Ramses Barden,WR,Rd 3-Pick 21 (85),,,,
Travis Beckum,TE,Rd 3-Pick 36 (100),,,,
Andre Brown,RB,Rd 4-Pick 29 (129),,,,
Rhett Bomar,QB,Rd 5-Pick 15 (151),,,,
DeAndre Wright,DB,Rd 6-Pick 27 (200),,,,
Stoney Woodson,DB,Rd 7-Pick 29 (238),,,,
