MP.Name,Date,Event,Type,Numbers,Venue.s.
"Laing, Eleanor",4/20/04,4th July Dng Club`,Dinn,10,Dng Rm D
"Gray, James",7/21/08,4th Mechanized Brigade Reception,Rec,150,Tce Pvln
"Hughes, Hon Beverley",12/12/07,5 Years of Big Lives,Rec,45,Dng Rm B
"Hurd, Nick",4/18/06,50th Anniversary for Northwood Round Table,Rec,39,Dng Rm A
"Fallon, Michael",6/11/08,50th Birthday Event,Tea,41,Tce Pvln
"Greenway, John",1/12/07,50th Birthday of Hazel Dales,Rec,44,Dng Rm B
"Pound, Stephen",6/27/06,51st Birthday Greenford Park,Tea,20,Dng Rm B
"Lait, Jacqui",10/14/04,54 Club,Dinn,50,Dng Rm A
"Lait, Jacqui",3/16/06,54 Club,Dinn,20,Astor Suite
"Lait, Jacqui",7/6/06,54 Club,Dinn,70,Church. Dng Rm
"Lait, Jacqui",10/19/06,54 Club,Dinn,32,Dng Rm A
"Waltho, Lynda",5/8/06,55 Labour Group Anniversary,Dinn,35,Dng Rm A
"Viggers, Peter",9/14/07,5615 Reunion,Lnch,35,Dng Rm A
"Malik, Shahid",4/23/09,60th Anniversary of Legal Aid,Rec,40,Dng Rm B
"Gardiner, Barry",1/8/09,60th Birthday,Dinn,20,Dng Rm B
"Henderson, D.J",11/25/08,75th Anniversary Book Launch for CARA,Tea,110,Strngrs Dng Rm
"Hughes, Hon Beverley",10/8/08,80th Birthday Dinner,Dinn,24,Dng Rm B
"Howarth, Gerald",7/23/07,92 Group Dinner,Dinn,23,Club Rm
"Chope, Christopher",6/16/08,92' Dng,Dinn,16,Club Rm
"Davies, Philip",6/16/08,92' Dng,Dinn,16,Club Rm
"Pound, Stephen",5/14/07,96th Birthday of Dr Syedna Mohammed Burhanuddin (TUS),Rec,100,Strngrs Dng Rm
"Walley, Joan",5/23/07,A B I,Dinn,20,Dng Rm B
"Iddon, Brian",2/1/05,A B P I,Dinn,25,Club Rm
"Follett, Hon Barbara",7/9/09,A Celebration of Excellence,Rec,80,Dng Rm A
"Clarke, Kenneth",10/7/08,A Living Landscape Reception,Rec,180,Mmbrs Dng Rm
"Horwood, Martin",7/14/08,A new Global Agenda for Forests,Rec,45,Astor Suite
"Blunkett, David",10/9/06,A New Vision For The Welfare State,Rec,70,Mmbrs Dng Rm
"Sheerman, Barry",7/20/04,A P H A,Dinn,24,Dng Rm B
"Simpson, Alan",9/9/04,A P P G S C P,Bfast,24,Dng Rm B
"Rendel, David",11/24/04,A R A,Rec,45,Astor Suite
"Walley, Joan",6/25/09,A Shared Vision for Smarter Services,Rec,100,Mmbrs Dng Rm
"Olner, Bill",10/20/07,A W Lymn Centenary Celebration,Dinn,55,Dng Rm A
"Perham, Linda",4/27/04,A.S. Biss & Co,Rec,150,Tce Pvln
"Hall, Patrick",11/25/08,AA Calley Development Project,Lnch,14,Dng Rm D
"Morley, Elliot",4/29/09,AAL Party Parliamentary Water Group Meeting,Rec,70,Strngrs Dng Rm
"Hall, Mike",7/5/05,ABB,Rec,80,Dng Rm A
"Hall, Mike",10/21/08,ABB Parliamentary Reception,Rec,100,Tce Pvln
"Hall, Mike",5/17/06,ABB Tea,Tea,80,Dng Rm A
"Starkey, Phyllis",11/16/04,Abbey,Rec,15,Dng Rm B
"Starkey, Phyllis",5/9/07,Abbey MP's Dinner,Dinn,9,Astor Suite
"Brazier, J.W.H",9/29/08,Abca Reserve Armies Conference Reception,Rec,52,Strngrs Dng Rm
"Baker, Norman",10/18/07,ABI,Lnch,24,Astor Suite
"May, Theresa",7/1/09,ABI Parliamentary Reception,Rec,80,Dng Rm A
"Maude, Francis",4/26/06,Abingdon School,Rec,125,Tce Pvln
"Francois, Mark",2/28/07,ABN AMRO BANK,Dinn,13,Dng Rm D
"Iddon, Brian",4/26/06,ABPI North West Pharmaceutical,Dinn,25,Club Rm
"Iddon, Brian",11/8/05,ABPI North West Pharmaceutical Group,Dinn,20,Club Rm
"Bercow, John",9/15/04,Absolutely Equal,Bfast,18,Dng Rm B
"King, Oona",6/30/04,Absolutely Equal,Bfast,35,Dng Rm A
"Rammell, Bill",7/21/08,Academic Links between Israel & Britain,Bfast,40,Dng Rm A
"Newmark, Brooks",6/17/09,Academies Enterprise Trust Celebration,Rec,25,Dng Rm B
"Hamilton MP, Fabian",3/25/09,ACCA Breakfast,Bfast,10,Dng Rm D
"Hamilton MP, Fabian",5/13/09,ACCA Breakfast,Bfast,11,Dng Rm C
"Hamilton MP, Fabian",6/24/09,ACCA Breakfast,Bfast,35,Dng Rm A
"Hamilton MP, Fabian",11/26/08,ACCA breakfast on Islamic Finance,Bfast,11,Dng Rm D
"Hamilton MP, Fabian",6/25/08,ACCA Fair Tax Breakfast,Bfast,14,Dng Rm D
"Hamilton MP, Fabian",6/26/08,ACCA Pensions breakfast,Bfast,14,Dng Rm D
"Lewis, Ivan",9/3/08,Access for Care,Rec,69,Strngrs Dng Rm
"Love, Andrew",4/19/07,Access to Finance - 5 Years on,Rec,100,Strngrs Dng Rm
"Hunt, Jeremy",5/15/06,Accessibility Charter Launch,Rec,80,Dng Rm A
"Davey, Edward",7/14/06,ACE Dinner,Dinn,89,"Church. Dng Rm, Tce Pvln"
"Curtis-Thomas, Claire",11/5/08,ACE Parliamentary Tomorrow's Engineer,Rec,80,Dng Rm A
"Abbott, Diane",3/6/06,Achieve Parliamentary Presentation,Rec,50,Dng Rm A
"Sheerman, Barry",12/6/07,AchieveAbility Launch,Rec,75,Dng Rm A
"Sheerman, Barry",12/17/08,Achieveability: Challenging Behaviours,Rec,76,Dng Rm A
"Hands, Greg",3/29/06,ACL UK Parliamentary Reception,Rec,100,Mmbrs Dng Rm
"Milton, Anne",2/24/09,ACMIBPI Showcase Reception,Rec,150,Tce Pvln
"Kidney, David",11/4/08,ACoRP Parliamentary Reception,Rec,100,Mmbrs Dng Rm
"MacDougall, John",5/23/06,ACPOS,Dinn,30,Astor Suite
"Dean, Janet",2/9/05,ACS,Dinn,14,Dng Rm D
"Dean, Janet",4/2/08,ACS MP Dinner,Dinn,19,Dng Rm B
"Taylor, Dari",12/13/06,Action for Blind People,Rec,70,Dng Rm A
"Taylor, Dari",5/16/07,Action for Blind People,Dinn,30,Club Rm
"Loughton, Tim",3/10/09,Action For Children Parliamentary Reception,Rec,150,Tce Pvln
"Clapham, Michael",2/27/08,Action Mesothelioma,Rec,75,Strngrs Dng Rm
"Clapham, Michael",2/25/09,Action Mesotheliona Parliamentary Reception,Rec,75,Strngrs Dng Rm
"Gerrard, Neil",11/22/06,Action on Health Improvements,Bfast,35,Dng Rm A
"Butterfill, John",3/26/09,Action Partners Reception,Rec,120,Mmbrs Dng Rm
"Lammy, David",10/20/05,Actionaid,Rec,180,Tce Pvln
"Cable, Vincent",5/20/08,Acxiom,Bfast,14,Dng Rm C
"Harris, Evan",5/11/04,Adam Smith Inst,Bfast,54,Dng Rm A
"Harris, Evan",6/8/04,Adam Smith Inst,Bfast,24,Dng Rm B
"Harris, Evan",7/6/04,Adam Smith Inst,Bfast,35,Dng Rm A
"Harris, Evan",7/21/04,Adam Smith Inst,Bfast,54,Dng Rm A
"Harris, Evan",7/22/04,Adam Smith Inst,Bfast,54,Dng Rm A
"Harris, Evan",9/7/04,Adam Smith Inst,Bfast,24,Dng Rm B
"Harris, Evan",11/2/04,Adam Smith Inst,Bfast,40,Dng Rm A
"Harris, Evan",12/1/04,Adam Smith Inst,Bfast,40,Dng Rm A
"Harris, Evan",1/11/05,Adam Smith Inst,Bfast,45,Dng Rm A
"Harris, Evan",3/1/05,Adam Smith Inst,Bfast,50,Dng Rm A
"Harris, Evan",4/5/05,Adam Smith Inst,Bfast,58,Dng Rm A
"Harris, Evan",10/4/05,Adam Smith Inst,Bfast,58,Dng Rm A
"Pound, Stephen",4/26/04,Adam Smith Inst,Bfast,54,Dng Rm A
"Pound, Stephen",5/6/04,Adam Smith Inst,Bfast,20,Dng Rm B
"Raynsford, Nick",11/17/08,ADB:Incorporating Insurer Requirements,Rec,29,Dng Rm B
"Robertson, Laurence",6/21/06,ADC KRONE UK LTD,Dinn,19,Astor Suite
"Burnham, Andrew",7/20/05,Added Value PR ltd,Rec,50,Dng Rm A
"Caborn, Richard",6/8/09,Additional Charges,Dinn,0,Special Venue
"Gray, James",7/8/09,Additional Charges for Event no 36680,Dinn,24,Special Venue
"Ellwood, Tobias",9/26/09,Additional Drink Charges for event 32845,Dinn,0,Special Venue
"Butterfill, John",6/12/08,Additional Event - John Butterfill,Dinn,56,Special Venue
"Begg, Anne",5/7/09,Additonal Charge,Rec,0,Special Venue
"Flook, Adrain",6/15/04,Adrian Flook MP,Tea,50,Dng Rm A
"Cunningham, Jim",10/27/04,Adult Education Service,Tea,32,Dng Rm B
"Hopkins, Kelvin",5/23/07,Adult Leaners Week Annual Reception,Rec,200,Mmbrs Dng Rm
"Chaytor, David",5/25/05,Adult Learners Week,Rec,180,Tce Pvln
"Chaytor, David",5/25/05,Adult Learners Week,Tea,180,Tce Pvln
"Foster, Michael John",5/24/06,Adult Learners Week,Rec,200,Tce Pvln
"Hopkins, Kelvin",5/14/08,Adult Learners' Week Reception,Rec,200,Mmbrs Dng Rm
"Follett, Hon Barbara",6/24/04,Advanced European,Lnch,14,Dng Rm C
"Cunningham, Jim",2/7/07,Advantage West Midlands,Lnch,35,Dng Rm A
"Cunningham, Jim",6/2/08,Advantage West Midlands,Dinn,36,Dng Rm A
"Ryan, Joan",4/20/06,Aegis Lunch,Lnch,49,Dng Rm A
"Gummer, John",9/18/06,AFB Launch,Rec,80,Strngrs Dng Rm
"Hopkins, Kelvin",11/9/06,Affinity Sutton Menu,Rec,65,Dng Rm A
"Baldry, Tony",3/14/06,Afghan A10,Rec,50,Strngrs Dng Rm
"Bayley, Hugh",6/7/04,Africa All Party Parliamentary Group,Tea,40,Dng Rm A
"Bayley, Hugh",10/26/05,Africa All Party Parliamentary Group,Rec,100,Tce Pvln
"Bayley, Hugh",3/29/06,Africa APPG,Rec,40,Dng Rm B
"Bayley, Hugh",3/29/06,Africa APPG,Tea,40,Dng Rm B
"Robertson, Laurence",6/14/07,Africa Bus Group,Lnch,19,Dng Rm B
"Robertson, Laurence",10/18/07,Africa Bus Group,Lnch,22,Dng Rm B
"O'Brien, Stephen",4/25/07,Africa Malaria Day,Rec,150,Tce Pvln
"Bayley, Hugh",3/14/05,African Books Collective Ltd,Rec,45,Dng Rm B
"Clwyd, Ann",3/24/09,African Human Rights Lunch,Lnch,24,Astor Suite
"Laing, Eleanor",11/4/08,Afternoon Tea,Tea,15,Dng Rm C
"Robathan, Andrew",10/17/06,Afternoon Tea with Andrew Robathan MP,Tea,12,Dng Rm C
"Francis, Hywel",2/28/06,Age Concern,Rec,25,"Dng Rm B, Dng Rm C"
"O'Hara, Eddie",10/12/04,Age Concern,Bfast,20,Dng Rm B
"O'Hara, Eddie",1/31/06,Age Concern,Rec,130,Mmbrs Dng Rm
"Rooney, Terry",7/16/08,Age Concern,Rec,140,Mmbrs Dng Rm
"O'Hara, Eddie",7/16/07,Age Concern annual Summer Reception,Rec,160,Tce Pvln
"Holmes, Paul",11/30/04,Age Concern England,Bfast,24,Dng Rm B
"O'Hara, Eddie",3/16/05,Age Concern England,Rec,30,Astor Suite
"O'Hara, Eddie",7/4/06,Age Concern England,Rec,150,Tce Pvln
"O'Brien, Michael",4/24/08,Ageing Society Launch,Rec,70,Dng Rm A
"Wallace, Ben",2/13/07,Agricolae,Tea,48,Tce Pvln
"Pound, Stephen",11/1/06,Ahimsa Day,Rec,150,Mmbrs Dng Rm
"Greening, Justine",10/22/08,Ahmandiyya Muslim Association Reception,Rec,200,Tce Pvln
"Wiggin, Bill",11/21/05,AHPMA,Rec,100,Tce Pvln
"Hoban, Mark",4/23/09,AIFA Consumer Trust Launch,Rec,100,Tce Pvln
"Gummer, John",1/17/08,AIFA Member Dinner,Dinn,11,Dng Rm C
"Howarth, Gerald",1/12/05,Air League,Rec,100,Mmbrs Dng Rm
"Howarth, Gerald",7/3/07,Air League,Rec,60,Strngrs Dng Rm
"Laxton, Robert",6/2/08,Air League,Tea,80,Strngrs Dng Rm
"Howarth, Gerald",10/28/05,Air Power Association,Dinn,141,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Howarth, Gerald",11/30/07,Air Power Association's Industry Dinner,Dinn,117,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Brake, Thomas",11/26/04,Air Safety Group,Tea,50,Dng Rm A
"Mahmood, Khalid",6/27/07,Air Sylhet,Lnch,14,Dng Rm D
"Mahmood, Khalid",6/27/07,Air Sylhet Launch,Dinn,14,Dng Rm D
"Tami, Mark",4/28/08,Air Tanker Reception,Rec,120,Tce Pvln
"Tami, Mark",1/26/05,Airbus,Rec,45,Dng Rm B
"Spelman, Caroline",10/23/07,Airparks Services Ltd,Rec,150,Tce Pvln
"Hopkins, Kelvin",10/12/06,Airport Operators Association,Rec,150,Tce Pvln
"Howarth, Gerald",11/10/06,Airpower Association's Industry Dinner,Dinn,130,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Bottomley, Peter J",2/8/05,AIRSO,Rec,120,Tce Pvln
"Campbell, Anne",7/12/04,AIRTO,Lnch,19,Dng Rm A
"Gibson, Ian",11/14/07,Airto Ltd,Lnch,25,Dng Rm A
"Gibson, Ian",11/6/08,Airto Parliamentarians Lunch,Lnch,23,Dng Rm A
"Hammond, Philip",10/26/04,Airtrack Launch,Rec,60,Dng Rm A
"McDonnell, Alasdair",5/10/06,AIRTRICITY Presentation,Rec,50,Dng Rm A
"Mactaggart, Fiona",11/6/08,Airwave Dinner,Dinn,8,Dng Rm C
"Binley, Brian",3/19/09,Aistom Roundtable,Bfast,12,Dng Rm C
"Mahmood, Khalid",2/16/06,Akhtar Computers,Rec,30,Dng Rm B
"George, Andrew",10/27/08,Al Party Parl. Water Group,Dinn,15,Club Rm
"Key, Robert",11/6/06,Alabare Christian Care Centre,Dinn,53,Dng Rm A
"Tami, Mark",7/23/07,Alan Cussen's Retirement Dinner,Dinn,36,Dng Rm A
"Johnson, Alan",3/16/09,Alan Johnson MP,Tea,10,Rm A Bar
"Grogan, John",5/7/08,Albanian Investment Forum,Dinn,26,Astor Suite
"Borrow, David",7/13/09,Albert Kennedy Trust 20th Anniversary,Rec,45,Dng Rm B
"Waltho, Lynda",5/9/07,Alcohol Concern,Rec,25,Dng Rm C
"Johnson, Boris",9/8/06,Alcon Laboratories,Rec,120,"Mmbrs Dng Rm, Tce Pvln"
"Howarth, Gerald",3/31/06,Aldershot Conservative Bus Club,Dinn,70,"Church. Dng Rm, Tce Pvln"
"Howarth, Gerald",3/23/07,Aldershot Conservative Bus Club,Dinn,75,"Church. Dng Rm, Tce Pvln"
"Howarth, Gerald",3/20/09,Aldershot Conservative Bus Club Annual Dinner,Dinn,80,"Church. Dng Rm, Tce Pvln"
"Howarth, Gerald",3/18/05,Aldershot Conservative Bus Club Dinner,Dinn,96,"Church. Dng Rm, Tce Pvln"
"Sanders, Adrian",10/24/07,Alex Azar Roundtable,Bfast,14,Dng Rm C
"Robathan, Andrew",10/11/04,Aliance And Lester,Lnch,24,Dng Rm B
"Barrett, John",12/13/05,All Member Group,Dinn,13,Dng Rm C
