MP.Name,Date,Event,Type,Numbers,Venue.s.
"Clark, Paul",1/31/07,Chartered Inst of Housing,Rec,80,Dng Rm A
"Clark, Paul",1/28/09,Chartered Inst of Housing Reception,Rec,100,Tce Pvln
"Goodman, Paul",2/5/08,Chartered Inst of Marketing,Rec,100,Tce Pvln
"Mitchell, Austin",6/23/05,Chartered Inst of Marketing,Rec,73,Church. Dng Rm
"Thurso, John",7/19/04,Chartered Inst of Marketing,Meeting,70,Tce Pvln
"Thurso, John",7/19/04,Chartered Inst of Marketing,Rec,70,Tce Pvln
"Curtis-Thomas, Claire",3/5/09,Chartered Inst of Plumbing & Heating Presidents Dinner,Dinn,76,"Church. Dng Rm, Tce Pvln"
"Davies, Quentin",4/27/04,Chartered Inst of Taxation,Lnch,30,Dng Rm B
"Davies, Quentin",5/13/04,Chartered Inst of Taxation,Lnch,10,Dng Rm D
"Davies, Quentin",6/21/05,Chartered Inst of Taxation,Lnch,14,Dng Rm D
"Davies, Quentin",6/30/05,Chartered Inst of Taxation,Dinn,96,Church. Dng Rm
"Davies, Quentin",9/28/06,Chartered Inst of Taxation,Dinn,136,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Davies, Quentin",6/19/07,Chartered Inst of Taxation,Rec,35,Astor Suite
"Goodman, Paul",5/16/06,Chartered Management Inst,Rec,40,Dng Rm B
"Grieve, Dominic",7/1/08,Chartered Management Inst,Rec,25,Dng Rm B
"Horam, John",7/13/06,Chartwell Cancer Trust,Lnch,35,Dng Rm A
"Fabricant, Michael",6/8/05,Chase Town Senior Citizens,Tea,50,Tce Pvln
"Stanley, John",11/10/04,Chatham Conservative Association,Lnch,47,Dng Rm A
"Spelman, Caroline",6/13/07,Cheadle Bus & Professional Group,Lnch,38,"Dng Rm B, Dng Rm D"
"Spring, Richard",6/7/05,Chelgate Ltd,Rec,60,Strngrs Dng Rm
"Keen, Alan",1/18/07,Chelsea Football Club,Rec,150,Tce Pvln
"Robertson, Laurence",10/15/07,Cheltenham Conservatives,Tea,47,Dng Rm A
"Horwood, Martin",1/20/09,Cheltenham Festival Reception,Rec,100,Mmbrs Dng Rm
"Burns, Simon",7/13/04,Chemford Enviroment Partnership,Rec,45,Dng Rm B
"Iddon, Brian",6/3/08,Chemical Industries Assoc.,Rec,40,Dng Rm B
"Iddon, Brian",3/15/05,Chemical Industries Association,Rec,100,Tce Pvln
"Iddon, Brian",7/11/07,Chemical Industries Association,Rec,50,Dng Rm A
"Gillan, Cheryl",9/25/07,Chesham Rotary Club,Dinn,96,"Church. Dng Rm, Tce Pvln"
"Russell, Christine",10/26/05,Cheshire & Warrington Tourism,Lnch,10,Astor Suite
"MacShane, Dr Denis",11/2/06,Chetham House Dinner,Dinn,20,Club Rm
"Grieve, Dominic",10/25/07,Chicago Alumni Reception,Rec,120,Tce Pvln
"Howarth, Gerald",6/6/07,Chief of The Air Staff's Breakfast,Bfast,20,Dng Rm B
"Howarth, Gerald",12/14/06,Chief of the Airstaff,Bfast,22,Dng Rm B
"Hands, Greg",12/12/07,Childhood Cancer Awareness,Rec,60,Dng Rm A
"Taylor, Dari",11/28/07,Childlink Function,Rec,150,Tce Pvln
"Bercow, John",10/9/07,Children in Care Bill,Rec,45,Dng Rm B
"Russell, Christine",10/13/04,Children Today,Rec,110,Tce Pvln
"Whittingdale, John",2/14/06,Children's Heart Foundation,Tea,100,Strngrs Dng Rm
"Cable, Vincent",11/22/06,Children's Savings Roundtable,Lnch,14,Dng Rm D
"Morris, Estelle",6/10/09,Children's University,Rec,110,Tce Pvln
"Hughes, Hon Beverley",9/20/06,Children's Workforce,Rec,35,Dng Rm B
"Hands, Greg",12/6/06,Childrens Cancer Awareness Month Reception,Tea,80,Strngrs Dng Rm
"Vaz, Keith",12/15/04,Childrens Party,Rec,200,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Chapman, Ben",4/1/08,China APPG Dinner,Dinn,13,Dng Rm C
"Chapman, Ben",5/9/07,China APPG Sponsors' Dinner,Dinn,23,Dng Rm B
"Chapman, Ben",5/14/08,China APPG Sponsors' Dinner,Dinn,25,Dng Rm B
"Chapman, Ben",6/20/07,China Hearing Event,Lnch,35,Dng Rm B
"Wilshire, David",5/23/07,China Hearing Event Lunch,Rec,25,Astor Suite
"Chapman, Ben",3/7/07,China Hearing Lunch,Lnch,20,Dng Rm D
"Luff, Peter",3/21/07,China Hearings,Rec,25,Dng Rm D
"Prescott, John",10/12/07,Chinese delegation Afternoon Tea,Tea,37,Dng Rm A
"McCartney, Ian",6/13/07,Chinese Ministerial Visit,Dinn,48,"Dng Rm A, Dng Rm D"
"Chapman, Sydney",7/14/04,Chipping Barnet Conservatives,Tea,45,Tce Pvln
"Villiers, Theresa",10/17/05,Chipping Conservatives,Dinn,20,Dng Rm B
"Gibson, Ian",11/9/05,Chirow Vaccines,Dinn,14,Dng Rm C
"Harris, Evan",11/3/05,CHMS,Bfast,24,Dng Rm B
"Harris, Evan",3/15/06,CHMS,Bfast,24,Dng Rm B
"Hall, Patrick",6/20/07,Chonic Pain Policy Coalition,Bfast,60,Tce Pvln
"Gale, Roger",4/25/06,Chris Cowdrey Cricketing Charity,Lnch,22,Dng Rm B
"Evans, Nigel",5/26/06,Chris Fitzgibbon's Reception,Rec,200,Tce Pvln
"Haselhurst, Sir Alan",10/29/04,Chris Silverwood Benefit,Dinn,120,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Brazier, J.W.H",10/4/08,Christening,Rec,40,Dng Rm B
"Young, Sir George",9/18/04,Christening,Rec,60,Strngrs Dng Rm
"Brown, Lyn",12/19/06,Christmas Book Reception,Rec,25,Dng Rm B
"Tipping, Paddy",12/3/07,Christmas Reception,Rec,130,Tce Pvln
"Shepherd, Richard",11/19/07,Christopher Gill RD,Dinn,18,Club Rm
"Begg, Anne",10/18/07,Chronic Pain Policy Coalition,Bfast,35,Dng Rm A
"Rooney, Terry",11/17/05,Church of Jesus Christ of Later Day Saints,Bfast,40,Dng Rm A
"Rooney, Terry",5/16/05,Church of Jesus Christ of Latter Day Saints,Bfast,35,Dng Rm A
"Binley, Brian",10/25/06,Church. Club Luncheon,Lnch,43,Dng Rm A
"Cormack, Sir Patrick",12/2/05,Church. Dinner,Dinn,168,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Cormack, Sir Patrick",11/28/08,Church. Dinner,Dinn,145,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Iddon, Brian",7/6/09,CIA Dinner,Dinn,12,Dng Rm D
"Curtis-Thomas, Claire",11/18/04,CIBSE,Rec,100,Tce Pvln
"Curtis-Thomas, Claire",1/18/07,CIBSE Educational Fact Sheets,Rec,100,Church. Dng Rm
"Bottomley, Peter J",7/10/08,CIBSE Young Engineers Reception,Tea,60,Strngrs Dng Rm
"Brazier, J.W.H",6/16/04,CICC,Dinn,45,Dng Rm A
"Brazier, J.W.H",6/13/05,CICC,Dinn,39,Dng Rm A
"Brazier, J.W.H",12/7/05,CICC,Lnch,44,Dng Rm A
"Brazier, J.W.H",6/6/07,CICC,Dinn,37,Dng Rm A
"Brazier, J.W.H",12/12/07,CICC,Lnch,47,Dng Rm A
"Brazier, J.W.H",6/4/08,CICC,Dinn,38,Dng Rm A
"Brazier, J.W.H",6/22/09,CICC Dinner,Dinn,36,Dng Rm A
"Begg, Anne",7/5/05,CICERO,Bfast,20,Dng Rm B
"Cable, Vincent",6/14/05,CICERO,Bfast,24,Dng Rm B
"Curry, David",7/21/04,Cicero,Bfast,18,Dng Rm B
"Taylor, Ian",5/9/08,CICERO,Dinn,46,"Church. Dng Rm, Tce Pvln"
"Love, Andrew",11/25/08,Cicero Consulting,Bfast,50,Dng Rm A
"McFall, John",9/8/04,Cicero Consulting,Bfast,28,Dng Rm B
"Plaskitt, James",12/14/04,Cicero Consulting Limited,Bfast,24,Dng Rm B
"Keetch, Paul",6/16/04,Cider Group,Rec,100,Strngrs Dng Rm
"Keetch, Paul",12/1/04,Cider Group,Rec,150,Tce Pvln
"Wiggin, Bill",11/30/05,Cider Group,Rec,100,Tce Pvln
"Wiggin, Bill",6/7/06,Cider Group,Rec,150,Tce Pvln
"Wiggin, Bill",11/29/06,Cider Group,Rec,125,Tce Pvln
"Wiggin, Bill",6/6/07,Cider Group,Rec,100,Tce Pvln
"Wiggin, Bill",11/27/07,Cider Group,Rec,125,Tce Pvln
"Walley, Joan",1/31/05,CIEH,Rec,55,Strngrs Dng Rm
"Walley, Joan",5/12/09,CIEH Awards Reception,Rec,62,Dng Rm A
"Davies, Philip",7/1/08,Cigarettes & Civil Liberties,Rec,25,Dng Rm B
"Brown, Lyn",11/24/08,CILIP,Rec,50,Strngrs Dng Rm
"Baldry, Tony",10/30/08,Cinese Officials for Dinner,Dinn,30,Dng Rm A
"Watson, Tom",2/2/09,CIO/CTO Council Green ICT,Rec,80,Church. Dng Rm
"Williams, Roger",6/16/06,CIOB Dinner,Dinn,174,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Davies, Quentin",6/5/08,CIOT,Rec,100,Tce Pvln
"Davies, Quentin",7/21/08,CIOT,Rec,100,Tce Pvln
"Davies, Quentin",7/4/07,CIOT Media,Rec,50,Dng Rm B
"Williams, Stephen",6/17/09,CIOT Summer Reception,Rec,100,Tce Pvln
"Pound, Stephen",9/21/06,CIPS London Branch Dinner,Dinn,169,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Iddon, Brian",11/26/08,Circulation Foundation Reception,Rec,70,Dng Rm A
"Reed, Andrew",11/30/05,CIS,Rec,120,Tce Pvln
"Wyatt, Derek",7/17/07,CISCO Networking Academy Reception,Rec,80,Strngrs Dng Rm
"Field, Mark",6/22/05,Cities of London & Westminster Cons Assoc,Rec,40,Dng Rm A
"White, Brian",5/5/04,Citigate Public Affairs,Rec,80,Dng Rm A
"Lazarowicz, Mark",6/27/06,Citizen Advice,Bfast,54,Dng Rm A
"Baird, Vera",3/21/06,Citizens Advice,Rec,60,Dng Rm A
"Buck, Karen",5/21/08,Citizens Advice,Rec,150,Tce Pvln
"Chapman, Ben",10/10/06,Citizens Advice,Rec,175,Mmbrs Dng Rm
"Khan, Sadiq",6/26/07,Citizens Advice,Rec,200,Tce Pvln
"Lazarowicz, Mark",12/8/04,Citizens Advice,Rec,40,Dng Rm B
"Levitt, Tom",3/27/06,Citizens Advice,Rec,85,Strngrs Dng Rm
"Lilley, Peter",9/15/04,Citizens Advice Boreau,Dinn,24,Dng Rm B
"Buck, Karen",6/10/09,Citizens Advice Bureau,Rec,200,Tce Pvln
"Mitchell, Austin",12/14/05,Citizens Advice Bureau,Rec,70,Dng Rm A
"Chapman, Ben",11/6/07,Citizens Advice Reception,Rec,180,Mmbrs Dng Rm
"Cousins, Jim",7/10/06,Citizenship in later life,Rec,55,Strngrs Dng Rm
"Gillan, Cheryl",4/29/08,CITRIX Systems Breakfast Briefing,Bfast,14,Dng Rm C
"Pollard, Kerry",2/8/05,City & Guilds,Rec,150,Tce Pvln
"Gummer, John",10/31/07,City & Guilds College Association,Rec,80,Dng Rm A
"Sheerman, Barry",4/22/08,City & Guilds Drinks Reception,Rec,100,Tce Pvln
"Marsden, Gordon",10/24/06,City & Guilds Parliamentary Reception,Rec,200,Tce Pvln
"Watkinson, Angela",4/29/04,City Livery Lodge,Dinn,52,Dng Rm A
"Shapps, Grant",12/1/05,City of Coventry Conservative Assoc,Dinn,20,Astor Suite
"Field, Mark",5/19/09,City of London Reception,Rec,200,Tce Pvln
"Jack, Michael",5/23/06,City Remembrancer's Office,Rec,200,Tce Pvln
"O'Hara, Eddie",9/11/06,City University,Dinn,23,Dng Rm B
"Thurso, John",4/29/06,Clan Gunn,Dinn,52,Dng Rm A
"Taylor, Richard",6/10/04,"Clare College, Cambridge",Rec,140,Tce Pvln
"Gardiner, Barry",11/19/07,Claremont High School,Rec,100,Tce Pvln
"Willetts, David",7/1/04,Clarendon Club,Dinn,40,Dng Rm A
"Burden, Richard",4/22/06,Classic Car Rally,Rec,180,Tce Pvln
"Johnson, Boris",6/26/07,Classics Reception,Rec,40,Dng Rm B
"Sheridan, Jim",6/14/06,Clean Coal Technology,Rec,20,Astor Suite
"Brooke, Annette",6/2/09,Clean Up Cruelty Reception,Rec,100,Mmbrs Dng Rm
"Haselhurst, Sir Alan",7/11/07,Clerks Department,Dinn,21,Club Rm
"Farrelly, Paul",11/25/05,Clerks Dept,Rec,138,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Herbert, Nick",10/18/05,Cleveland Bus Centre,Lnch,24,Dng Rm B
"Naysmith, Douglas",11/30/05,CLIC Sargent Cancer Care,Tea,75,Dng Rm A
"Baron, John",11/17/08,CLIC Sargent Dinner,Dinn,19,Astor Suite
"Gibson, Ian",11/24/08,CLIC Sargent Dinner,Dinn,27,Dng Rm B
"Streeter, Gary",2/11/09,Clifford Chance Reunion Dinner,Dinn,8,Dng Rm D
"Hurd, Nick",5/15/08,Climate Change & Bus,Dinn,24,Astor Suite
"Tipping, Paddy",4/1/08,Climate Change & National Parks,Rec,70,Dng Rm A
"Bayley, Hugh",6/8/09,Climate Change Champions Award,Tea,58,Strngrs Dng Rm
"Bradshaw, Ben",12/4/08,Clinical Support Team Christmas Dinner,Dinn,12,Dng Rm D
"Keen, Ann Lloyd",10/26/07,Club di Londra,Dinn,144,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Keen, Ann Lloyd",10/2/08,Club Di Londra,Dinn,158,"Church. Dng Rm, Mmbrs Dng Rm"
"Caborn, Richard",11/28/05,Clubs for Young People,Rec,60,Strngrs Dng Rm
"Hughes, Hon Beverley",1/30/07,Clubs for Young People,Rec,50,Dng Rm A
"Mundell, David",11/26/08,Clydesdale Bank,Dinn,14,Dng Rm C
"Moffat , Anne",7/15/09,Clydesdale Bank SPL Dinner,Dinn,35,Dng Rm A
"Blunt, Crispin",3/11/09,CMEC ARAB Ambassador's Dinner,Dinn,47,Dng Rm A
"Blunt, Crispin",3/4/08,CMEC Dinner,Dinn,39,Dng Rm A
"Love, Andrew",12/12/06,CML Briefing for Labour MPs,Lnch,14,Dng Rm D
"Gove, Michael",7/17/07,CML Housing Market Briefing,Lnch,14,Dng Rm C
"Love, Andrew",6/6/07,CML Housing Market Briefing,Lnch,12,Dng Rm D
"Love, Andrew",11/20/07,CML Housing Market Briefing,Buffet,14,Dng Rm C
"Love, Andrew",6/18/08,CML Housing Market Briefing,Rec,14,Dng Rm D
"Love, Andrew",10/29/08,CML Housing Market Briefing,Lnch,14,Dng Rm C
"Love, Andrew",3/17/09,CML Housing Market Briefing,Lnch,16,Dng Rm C
"Love, Andrew",7/14/09,CML Housing Market Briefing,Lnch,10,Dng Rm C
"Syms, Robert",6/4/08,CML Housing Market Briefing,Lnch,14,Dng Rm C
"Syms, Robert",10/21/08,CML Housing Market Briefing,Meeting,14,Dng Rm C
"Syms, Robert",10/21/08,CML Housing Market Briefing,Rec,14,Dng Rm C
"Syms, Robert",3/3/09,CML Housing Market Briefing,Meeting,16,Dng Rm C
"Syms, Robert",3/3/09,CML Housing Market Briefing,Rec,16,Dng Rm C
"Syms, Robert",6/30/09,CML Housing Market Briefing,Lnch,12,Dng Rm C
"Lansley, Andrew",7/9/07,CMS,Dinn,12,Dng Rm C
"Taylor, Dari",6/20/06,CMU University,Rec,100,Mmbrs Dng Rm
"Hancock, Mike",1/20/09,CO Gas Safety,Rec,80,Dng Rm A
"Breed, Colin",1/25/05,CO-GAS SAFETY,Tea,100,Tce Pvln
"Burnham, Andrew",5/10/04,Co-operative Financial Services,Dinn,23,Dng Rm B
"Grogan, John",1/11/06,Coal-Fired Generation Dinner,Dinn,12,Astor Suite
"Lansley, Andrew",5/18/04,Coalition For Medical  Progress,Rec,100,Strngrs Dng Rm
"Tipping, Paddy",7/18/07,Coastal Access Reception,Rec,70,Strngrs Dng Rm
"Love, Andrew",12/8/04,Coca - Cola GB,Dinn,11,Dng Rm D
"Ingram, Adam",3/5/08,Coca Cola,Dinn,37,Dng Rm A
"O'Brien, Bill",3/2/05,Coca Cola Recycling,Rec,35,Dng Rm B
"Sheerman, Barry",11/12/08,COCAA - Carbon Monoxide Breath Test Clinic,Tea,15,Dng Rm C
"Banks, Gordon",5/15/07,Coeliac Disease & Dermatims Herpetiformis,Rec,100,Tce Pvln
"Banks, Gordon",5/16/06,Coeliac UK,Rec,100,Tce Pvln
"Banks, Gordon",5/13/09,Coeliac Uk: Free for tea,Tea,100,Mmbrs Dng Rm
"Stewart, Ian",9/10/09,Cogent SSC Showcase,Rec,122,Tce Pvln
"Jenkin, Hon Bernard",11/8/04,Colchester Area Bus Advisory Council,Lnch,80,"Church. Dng Rm, Tce Pvln"
"Jenkin, Hon Bernard",11/13/06,Colchester Area Bus Advisory Council,Lnch,82,"Church. Dng Rm, Tce Pvln"
"Jenkin, Hon Bernard",6/12/06,Colchester Area Bus Council,Lnch,70,Church. Dng Rm
"Jenkin, Hon Bernard",5/4/04,Colchester Bus Club,Lnch,35,Dng Rm A
"Challen, Colin",7/19/04,Colin Challen MP,Lnch,15,Dng Rm D
"Jones, Helen",5/9/07,College of Operating Department Practitioners,Rec,50,Dng Rm A
"Davies, David",5/12/09,Combat Stress,Rec,1100,Special Venue
"Keen, Ann Lloyd",11/9/04,Comic Relief,Tea,80,Strngrs Dng Rm
"Begg, Anne",6/16/09,Commercial Radio Award Winners Reception,Rec,60,Dng Rm A
"Vaz, Keith",1/13/05,Commision for Racial Equality,Bfast,24,Dng Rm B
"Vaz, Keith",3/30/06,Commission for Racial Equality,Rec,45,Astor Suite
"Kidney, David",7/20/06,Commission for Royal Communities,Rec,45,Dng Rm B
"Levitt, Tom",2/20/07,Commission for Volunteers,Dinn,19,Astor Suite
"Stoate, Howard",12/5/07,Commissioning in the NHS,Bfast,35,Dng Rm A
"Kidney, David",6/3/09,Commitment Statement Reception,Rec,150,Mmbrs Dng Rm
"Farrelly, Paul",3/17/06,Commons & Lords RUFC,Rec,100,Tce Pvln
"Reed, Andrew",9/19/09,Commons & Lords RUFC,Rec,60,Strngrs Dng Rm
"Farrelly, Paul",2/20/09,Commons & Lords RUFC Annual Dinner,Dinn,100,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Farrelly, Paul",3/14/09,Commons & Lords RUFC Reception,Rec,100,Tce Pvln
"McCafferty, Christine",2/1/06,Commonwealth Medical Trust,Lnch,30,Astor Suite
"Meale, Alan",3/8/06,Commonwealth War Graves Commission,Lnch,43,Tce Pvln
"Meale, Alan",2/11/08,Commonwealth War Graves Commission,Lnch,33,Dng Rm A
"Pollard, Kerry",11/29/04,Communications Management,Dinn,14,Astor Suite
"Wyatt, Derek",10/21/08,Communications Regulations Breakfast,Bfast,24,Dng Rm B
"Drew, David",11/27/07,Community Banking Breakfast,Bfast,55,Dng Rm A
"Farrelly, Paul",1/25/06,Community Rugby Dinner,Dinn,13,Astor Suite
"Tipping, Paddy",2/6/06,Composting Assoc. Round Table Dinner,Dinn,10,Dng Rm C
"Tipping, Paddy",3/5/07,Composting Association Round Table Dinner,Dinn,10,Dng Rm C
"Crabb , Stephen",10/16/08,Comres 5th Birthday Party,Rec,150,Church. Dng Rm
"Levitt, Tom",12/5/07,Comunity Development Foundation,Rec,80,Strngrs Dng Rm
"Simon, Sion",10/10/08,Concrete Repair Association Dinner,Dinn,91,"Church. Dng Rm, Strngrs Dng Rm"
"Shaw, Jonathan",11/2/05,Confederation of Paper Industry,Dinn,22,Club Rm
"Raynsford, Nick",10/9/08,Confidence in Construction-BDB Reception,Rec,120,Church. Dng Rm
"Hughes, Simon",3/25/09,Conflict Prevention & Human Security,Dinn,21,Club Rm
"Hughes, Simon",3/26/09,Conflict Prevention & Human Security,Rec,100,Tce Pvln
"Seabeck, Alison",1/25/06,Connect,Bfast,24,Dng Rm B
"Hodgson, Sharon",7/13/05,Connect Conferences,Rec,75,Strngrs Dng Rm
"Love, Andrew",6/27/05,Connect Conferences,Rec,70,Dng Rm A
"Watts, Dave",6/28/05,Connect Conferences,Rec,100,Strngrs Dng Rm
"White, Brian",3/2/05,Connect Conferences,Rec,100,Mmbrs Dng Rm
"Drew, David",6/23/04,Connect Public Affairs,Dinn,14,Dng Rm D
"Ellman, Louise",12/6/05,Connect Public Affairs,Tea,50,Strngrs Dng Rm
"Gidley, Sandra",6/28/06,Connecting For Health,Bfast,35,Dng Rm A
"Hope, Phil",6/19/08,Connecting London 2008,Rec,80,Dng Rm A
"Milburn, Alan",6/14/04,Connexions Tees Valley,Rec,40,Dng Rm B
"Laing, Eleanor",6/16/04,Conseil National des Ingenieurs et Scientifiques,Lnch,42,Dng Rm A
"Moran, Margaret",2/1/06,Consensus Action On Salt & Health,Rec,100,Tce Pvln
"Robertson, Laurence",11/16/06,Conservative Africa Buisiness,Lnch,22,Dng Rm B
"Robertson, Laurence",7/15/04,Conservative Africa Bus Group,Lnch,18,Dng Rm B
"Robertson, Laurence",11/18/04,Conservative Africa Bus Group,Lnch,18,Dng Rm B
"Robertson, Laurence",3/10/05,Conservative Africa Bus Group,Lnch,20,Astor Suite
"Robertson, Laurence",7/14/05,Conservative Africa Bus Group,Lnch,20,Dng Rm B
"Robertson, Laurence",11/17/05,Conservative Africa Bus Group,Lnch,20,Dng Rm B
"Robertson, Laurence",6/15/06,Conservative Africa Bus Group,Lnch,18,Dng Rm B
"Robertson, Laurence",2/26/09,Conservative Africa Bus Group,Lnch,17,Astor Suite
"Robertson, Laurence",5/14/09,Conservative Africa Bus Group,Lnch,15,Dng Rm B
"Robertson, Laurence",7/16/09,Conservative Africa Bus Group,Lnch,19,Dng Rm B
"Kawczynski, Daniel",6/30/09,Conservative Arab Network,Rec,150,Tce Pvln
"Green, Damian",3/8/06,Conservative Association,Lnch,10,Dng Rm C
"Hoban, Mark",5/19/08,Conservative Association,Tea,46,Tce Pvln
"Spelman, Caroline",6/15/05,Conservative Bus & Professional Group,Lnch,24,Dng Rm B
"Howard, Michael",9/29/05,Conservative Central Office,Lnch,24,Dng Rm B
"Spring, Richard",10/28/08,Conservative City Circle,Bfast,50,Dng Rm A
"Arbuthnot, James",12/5/05,Conservative Friends of Israel,Lnch,14,Dng Rm C
"Butterfill, John",2/6/08,Conservative Friends of Israel,Rec,120,Tce Pvln
"Clappison, James",11/9/05,Conservative Friends of Israel,Lnch,10,Dng Rm D
"Kawczynski, Daniel",11/25/08,Conservative Friends of Poland Reception,Rec,140,Tce Pvln
"Chope, Christopher",7/26/05,Conservative HQ,Rec,100,Tce Pvln
"Gove, Michael",1/31/07,Conservative MP's,Dinn,14,Dng Rm B
"Robathan, Andrew",1/21/09,Conservative MP's,Dinn,153,Mmbrs Dng Rm
"Randall, John",12/12/06,Conservative MP's Dinner RSPB,Dinn,12,Dng Rm C
"Cormack, Sir Patrick",12/16/04,Conservative Party Christmas Dinner,Dinn,71,Mmbrs Dng Rm
"Brazier, J.W.H",1/30/08,Conservative Transport Group,Rec,60,Dng Rm A
"Chope, Christopher",7/3/06,Conservative Way Forward,Rec,70,Tce Pvln
"Laing, Eleanor",6/22/06,Conservative Women's Organisations,Rec,120,Mmbrs Dng Rm
"Dunne, Philip",3/30/09,Conservatives Abroad,Rec,150,Tce Pvln
"Maude, Francis",3/14/07,Conservatives Abroad Reception,Rec,145,Tce Pvln
"Green, Damian",7/22/04,Conservatives in European Parliament,Dinn,35,Dng Rm A
"Chope, Christopher",7/1/04,Conservatives Way Forward,Rec,200,Tce Pvln
"Main, Anne",3/8/07,Consrvatives Friends of Bangladesh,Rec,35,Dng Rm B
"Bayley, Hugh",11/23/04,Constituacy Dinner Norwich Union,Dinn,6,Dng Rm C
"Blears, Hazel",5/16/06,Constituecy Visit,Rec,30,Dng Rm B
"Grayling, Chris",7/12/07,Constituency,Rec,200,Tce Pvln
"Walter, Robert",7/5/06,Constituency,Lnch,26,Dng Rm A
"Robertson, Hugh",6/16/08,Constituency Cream Tea,Tea,60,Tce Pvln
"Johnson, Boris",11/29/05,Constituency Event,Lnch,24,Dng Rm B
"Robertson, Hugh",6/16/09,Constituency Event,Tea,45,Tce Pvln
"Vaizey, Ed",3/30/06,Constituency Farewell Lunch,Lnch,24,Dng Rm B
"Penrose, John",10/27/06,Constituency Reception,Rec,50,Dng Rm A
"Hoban, Mark",3/5/07,Constituency Tea,Tea,34,Dng Rm B
"Rosindell, Andrew",4/26/07,Constitutional Monarchy Association,Rec,150,Tce Pvln
"Sheerman, Barry",5/20/08,Constructing Exelence Reception,Rec,50,Strngrs Dng Rm
"Ainsworth, Peter",5/12/05,Construction Equipment Association,Rec,100,Tce Pvln
"Raynsford, Nick",3/7/06,Construction Industry Council,Lnch,10,Dng Rm D
"Raynsford, Nick",5/8/07,Construction Industry Council,Dinn,10,Dng Rm C
"Bellingham, Henry",9/13/04,Construction Products Association,Dinn,21,Dng Rm B
"Cotter, Brian",2/9/05,Construction Products Association,Tea,27,Dng Rm B
"Hoban, Mark",2/10/09,Consumer & Bus Finance,Bfast,54,Dng Rm A
"Thomas, Gareth R",12/9/08,Consumer Focus Reception,Rec,45,Dng Rm B
"Foster, Don",12/11/08,Consumer Goods Study Group Dinner,Dinn,12,Dng Rm B
"Willis, Phil",4/25/06,Consumer Protection & Telecommunications,Rec,60,Strngrs Dng Rm
"Grayling, Chris",12/1/04,Consumers for Health Choice,Rec,100,Tce Pvln
"Mitchell, Austin",11/22/05,Consumers for Health Choice,Rec,125,Tce Pvln
"Mitchell, Austin",11/28/06,Consumers for Health Choice,Rec,150,Tce Pvln
"Mitchell, Austin",10/15/08,Consumers for Health Choice,Rec,100,Tce Pvln
"Boswell, Tim",2/19/08,Consumers Voice Meeting,Tea,40,Strngrs Dng Rm
"Farron, Tim",12/2/08,Content Online Annual Reception,Dinn,54,Dng Rm A
"Farron, Tim",11/30/06,Content Online Limited,Bfast,22,Dng Rm B
"Farron, Tim",12/6/07,Content Online Reception,Lnch,52,Dng Rm A
"Opik, Lembit",9/2/04,Control Tecnics Lunch,Lnch,40,"Dng Rm A, Strngrs Dng Rm"
"Stoate, Howard",11/19/08,COPD Reception,Rec,200,Mmbrs Dng Rm
"Butler, Dawn",7/14/06,Copeland Dinner,Dinn,176,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Villiers, Theresa",7/13/07,Copland School,Dinn,167,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Clelland, David",11/7/06,Corca Reception,Rec,100,Tce Pvln
"Walker, Charles",1/26/06,Cordoba Consulting,Dinn,18,Dng Rm B
"Walker, Charles",6/29/06,Cordoba Consulting,Dinn,22,Dng Rm B
"Cousins, Jim",10/11/06,Core/TJM,Rec,45,Dng Rm B
"Hayes, John",7/24/06,Cornerstone Dinner,Dinn,10,Astor Suite
"Hayes, John",12/12/06,Cornerstone Dinner,Dinn,10,Astor Suite
"Hayes, John",1/16/07,Cornerstone Dinner,Dinn,11,Astor Suite
"Hayes, John",10/23/07,Cornerstone Dinner,Dinn,16,Astor Suite
"Hayes, John",12/11/07,Cornerstone Dinner,Dinn,11,Astor Suite
"Hayes, John",3/13/07,Cornestone Dinner,Dinn,20,Astor Suite
"Hayes, John",5/8/07,Cornestone Dinner,Dinn,10,Astor Suite
"Cameron, David",7/12/05,Corona,Tea,53,Dng Rm A
"Dunne, Philip",7/2/08,Corporate Governance,Dinn,40,Dng Rm A
"Drew, David",5/3/06,Corporate Governance Forum,Bfast,45,Dng Rm A
"Dunne, Philip",11/1/06,Corporate Governance Forum,Bfast,45,Dng Rm A
"Dunne, Philip",12/13/06,Corporate Governance Forum,Bfast,40,Dng Rm A
"Dunne, Philip",2/7/07,Corporate Governance Forum,Bfast,35,Dng Rm A
"Dunne, Philip",5/23/07,Corporate Governance Forum,Bfast,45,Dng Rm A
