"Words","Count","global_stdev_ppb","range","global_freq_ppb"
"israel",8,1728089.9,0.00288944270009301,42084.57
"jeanette",2,435899.3,0.000182035302331969,901.0157
"jesus",27,3612464.3,0.0165979657503436,127678.516
"jewry",1,23455.397,1.22356204243722e-05,56.599167
"john",3,4189267.3,0.0259009534209043,206905.66
"join",1,7602852,0.0345995426651119,304542.38
"joseph",6,1268163.1,0.00302512130268547,17978.033
"josephs",1,170400.02,4.82866674327826e-05,269.3502
"joy",35,2720305.7,0.0118052563663217,69196.984
"joyful",3,617261.1,0.000840023122886721,4087.643
"joyous",3,432053.96,0.000573612631012718,2413.7327
"jubilee",1,522064.34,0.000297327450067286,1653.6771
"judeas",2,1418.0914,1.12425302521031e-07,0.40331948
"keeping",2,2735339.6,0.012386476442805,63256.29
"kept",1,972947.6,0.00940285881430018,47806.4
"king",42,3817117.5,0.0193456026688568,127742.04
"kings",4,1805506.9,0.00602910664849699,38513.18
"kite",2,912233,0.00114700041142039,5437.0825
"knee",2,1456212.7,0.00469572382304715,25363.215
"kneeling",1,235073.68,0.000101613735928591,411.78918
"knees",1,805918.2,0.0032360124326645,14139.373
"laid",8,2092099.5,0.00477498366132447,22853.56
"lamb",3,981947.9,0.00237282969745845,12379.286
"land",2,2607210,0.0128284015694647,79443.12
"lanterns",1,170683.85,0.000245555598256351,1207.0007
"lap",1,1340666.1,0.00390290058966884,19467.357
"late",1,5348196.7,0.0444845186517231,341642.94
"laud",5,142283.24,0.000107085100651282,484.7228
"law",1,2935418,0.015532117669793,128407.38
"lay",10,2066858.3,0.00989042861378347,53629.39
"lays",1,522362.94,0.00117484441134477,5437.6206
"leading",5,1157498.2,0.006016664915018,42521.902
"leads",1,1254034.7,0.00614413647052642,55305.855
"leave",2,4553670.5,0.0373091236187217,266986.56
"led",2,1326498.9,0.00544310849665654,37298.445
"left",1,4342539.2,0.0471243397051185,376845.66
"lend",2,461381.7,0.00140870777813893,6023.3745
"lie",2,2269181,0.013803260105175,83406.74
"lies",1,1789663.8,0.00769989654436287,45600.98
"life",2,15841717,0.108056155464257,1283167.9
"lifes",1,1155473.9,0.00159803198758435,6714.194
"light",19,2833426.7,0.0255322171661857,187918.11
"line",1,4319613.3,0.0324286850236325,241354.98
"linen",1,274125.02,0.000371621837483267,1984.0629
"listen",2,5486160,0.0320708914983593,275856.06
"little",15,7427652.4,0.0747132840931744,749018.4
"live",1,17337490,0.095478556007166,1524100.2
"lived",1,1097648,0.00712098118658124,34526.57
"load",1,1858582.6,0.00706203285295938,38565.273
"look",3,8179828,0.0792871388882888,890668.75
"looked",3,1681902.4,0.0174715665635833,102277.914
"lord",29,2513762.3,0.0135879656508472,99352.51
"loud",1,1619195.1,0.0121475914124982,64214.445
"love",15,29024953,0.182405575065822,4316119.5
"loves",2,5607622,0.0227181743689835,140876.53
"lovesong",1,234931.81,5.41889958151368e-05,252.54523
"loving",1,7815154,0.0223596313416935,125185.53
"low",1,2858224,0.0197797142369913,161723.05
"lowing",1,144508.48,8.39442258823695e-06,32.33278
"lowly",9,135845.77,0.000208998637386596,870.56506
"lullaby",1,600591.5,0.000729134299500144,3290.2803
"makes",2,3891957.7,0.0509614527552622,434726.84
"manger",14,721180.3,0.000473048197907656,2230.8271
"mankind",2,450003.83,0.000880945933004376,4094.4324
"mary",15,3281140.7,0.0114802348167334,78941.79
"marys",2,442306.25,0.00038721147943285,1860.1766
"mason",1,930524.96,0.00180099713373565,10549.964
"mean",1,4460424.7,0.0431668753686262,379988.06
"meanly",1,32612.4,8.35694748739661e-06,30.786718
"meek",3,323462.8,0.00024868476917652,1299.6299
"melchior",1,155036.32,1.78568855504237e-05,84.15933
"menzies",1,99806.4,3.08420079916027e-05,154.13527
"mercy",2,1021743.9,0.00265765920139548,13998.4795
"merry",2,7523069,0.0258550651599253,152234.89
"message",1,5310078,0.0231428984243575,150951.94
"messiahs",1,50897.168,1.61705060126082e-05,66.8166
"met",1,3937423,0.0242044930809628,211262.25
"midnight",2,1951361.1,0.01139981325033,62735.74
"mighty",3,1089997.5,0.00380443476221084,18527.69
"mild",7,545012.1,0.00176548947568942,8085.884
"milk",1,2258817.4,0.0109974805677081,62090.97
"mind",2,5785132.8,0.0414444447838023,310648.9
"mine",1,3337209.6,0.0285385259682493,205199.28
"misery",1,754248.23,0.00185466147813902,8030.36
"mocks",1,371492.6,0.000422381861571512,1989.1718
"moor",1,365019.83,0.000184265070831969,978.7891
"morn",3,882303.17,0.00303868728918968,16855.729
"morning",3,12018775,0.0865997490030171,1174182.8
"mortals",1,168016.11,0.00018212899008407,743.5195
"mother",8,3006098.8,0.0178555364467934,113196.79
"mountain",12,1833713.3,0.00780883666250574,50383.742
"mountains",1,1220781.2,0.00324912871795862,15972.191
"music",1,14730242,0.0654607566458953,774589.6
"myrrh",3,69528.716,4.54572973193367e-05,200.44978
"nahum",1,80962.05,1.79880484033649e-05,80.59668
"nails",1,2171311.5,0.00681055618877025,35641.95
"name",8,5761782,0.0476723006296061,416499.78
"natal",1,2802127.3,0.00608153431457263,45786.98
"nations",4,810435.6,0.00256646354350051,18733.182
"naught",1,422565.7,0.000152879673878181,647.4622
"neale",1,119424.134,0.000119002182718511,581.4523
"near",2,2283125.7,0.0184231343241213,134814.19
"newborn",9,690017.24,0.000965096271941367,5029.0576
"news",3,10499261,0.05931399691831,1302172.9
"nigh",3,589720.03,0.000750776170235442,3235.765
"night",35,13516585,0.124044532486781,1823875.4
"noel",30,1196553.1,0.00216514268860127,11430.545
"noise",1,1242673.7,0.0058814172760852,29306.336
"northwest",1,600566.5,0.00148184043742886,14466.936
"obedient",1,160111.36,0.000143717011722717,596.7784
"obey",1,553447.35,0.000887485338101016,4289.236
"offer",1,2104260.3,0.0137867523232548,106972.086
"offered",1,734905.5,0.00424935789693781,22008.404
"offspring",1,519072.2,0.000582025791151375,2683.7551
"oped",1,144254.42,0.000122637267500024,666.6199
"oppression",1,203494.49,0.000270120526857196,1318.5186
"orient",2,296212.56,0.000253631482487445,1405.0306
"owns",1,847321.9,0.00250650338215596,11127.921
"oxen",2,98996.05,4.52324467142946e-05,203.2058
"painful",1,1109544.2,0.00450304559207652,19885.129
"palace",1,1015802.6,0.00211443887716428,12430.038
"pattern",1,806050.3,0.00268655250414339,15810.729
"peace",27,4727698,0.0198992410711216,140924.53
"peaceful",1,1209407.9,0.00313477344774432,14177.621
"peacefully",2,475436.97,0.000580564262218602,2359.1501
"pealed",1,43531.02,1.43154885210112e-05,53.64149
"peasant",1,167241.81,0.000183815369621885,794.2033
"people",2,13831017,0.124940730785827,2194179.8
"perfect",5,4031613,0.0295570804715394,195470.53
"perfume",1,1063423.1,0.00232130143380298,12821.258
"phillips",1,634875.56,0.00133960369218934,7617.495
"pierce",1,723313.9,0.00118902873701284,6958.807
"pining",1,446784.72,0.000139070099218515,536.88544
"plain",1,1158006.1,0.00477299748097993,23105.97
"plains",5,402761.68,0.000577491303949694,4078.8372
"plaintive",1,28297.896,1.56458546008434e-05,59.355183
"play",1,7731132,0.0543697569640402,481822.78
"pleading",1,216279.12,0.000237985627886602,968.37006
"pleased",1,1070221.3,0.00430352815520253,21257.021
"poor",4,3153205.6,0.0200813513236552,125831.65
"poverty",1,699743.8,0.00198722964736174,12147.513
"power",2,3449994.4,0.0274464640546609,234615.98
"powr",2,52273.124,2.70008101554675e-05,113.53443
"praise",2,1289775.2,0.00452695470641266,25406.236
"praises",4,290511,0.000892244675907739,4807.1646
"praising",2,879027.36,0.000571757613521121,2396.659
"pray",5,2388705.7,0.011959391456078,81780.83
"prayer",1,1586217,0.0060038484305306,40064.344
"prepare",1,2134935.5,0.00716094838162746,34730.043
"presence",1,992048.8,0.00402222131074449,20082.621
"prevail",1,380715.4,0.00054537514252952,2279.6963
"prince",2,1939913.5,0.00768254557267379,46424.086
"proceeding",5,232166.16,0.000149244589096668,593.4846
"proclaim",5,158171.62,0.000274748701810979,1118.4722
"prolong",1,138204.72,0.000146583856937004,598.0556
"proof",1,1175455.3,0.00700349674544676,41742.49
"prophets",1,220652.55,0.000254418459605092,1210.4962
"prove",1,1749790.5,0.0062633822414004,29967.645
"published",1,1713381,0.00451792320711014,57461.4
"pure",3,1616103.2,0.00769871607868639,42189.03
"quake",1,1054927.5,0.00271019929277364,19839.756
"quiet",1,2611831.3,0.0118550045626872,64444.473
"quietly",1,635885.75,0.0016076443509499,7364.479
"radiant",1,285214.3,0.000331935705693343,1832.9526
"raise",4,1347184,0.00898072054088413,51210.684
"raising",1,1055600.4,0.00403856045471088,20634.094
"rang",1,583001.35,0.0011802595634162,5143.8022
"rays",1,1200255.5,0.00143615828950449,9021.518
"realm",1,494221.6,0.000695612821798457,4705.125
"realms",1,350400.75,0.000251026962979041,1488.921
"receive",2,1456606.7,0.00849249492713613,51731.977
"reconciled",1,95919.21,6.65932541932905e-05,265.58588
"redeeming",3,193983.78,0.000241883038373997,947.33026
"reign",1,456739.36,0.000972122853348932,4665.4653
"reigns",1,344306.17,0.00044070718588244,1847.136
"rejoice",7,565752.85,0.00140893262874398,6365.793
"rejoiced",1,86945.816,5.32708558445483e-05,222.29625
"rejoices",1,117820.05,0.000129420260752126,563.97504
"remember",1,3967332,0.0396272584065036,306173.6
"repeat",5,1337438.9,0.00759144360253091,36775.477
"replies",1,799110.74,0.00337911110522336,20634.832
"reply",1,4999742.4,0.0209753573293025,182518.2
"residing",1,201274.9,0.000111657062953804,464.89294
"rest",5,4396779,0.0318425557089391,199662.77
"reverently",1,18227.918,8.30073483613609e-06,31.324478
"revolved",1,72669.04,4.93921829075728e-05,181.76265
"righteousness",3,223621.33,0.000330998828172334,1669.0704
"ring",1,2130917.7,0.0114943254546493,74502.32
"ringing",2,588603.5,0.0020089277307483,8370.56
"rise",1,1651422.2,0.00926459442974973,66001.96
"risen",1,557115.2,0.000631905150369873,2954.7185
"road",1,3186714.6,0.0231559772345508,161008.84
"rocks",1,7091897,0.0206867428401806,130779.23
"rolled",2,620524.4,0.00276628078118122,11867.003
"round",2,3577270.8,0.0244605791825553,196197.72
"royal",7,1925491.4,0.0069754841075686,49361.13
"rules",1,4555365.5,0.0196553156397518,145543.14
"run",1,4546242.8,0.0371264512396754,304250.84
"sack",1,1147898.8,0.00247755386675679,11309.213
"sacred",1,645277.96,0.00135596157370615,7313.728
"sacrifice",1,1013666.4,0.00214782919201303,9721.344
"sad",1,7837643,0.0362028399043643,245745.23
"sadness",1,1123744.1,0.00182217056571044,7680.8164
"sages",1,130536.37,6.32579702184999e-05,299.53192
"saints",6,3330745.3,0.00765709997920319,59459.37
"salvation",2,889392.1,0.00227009170850465,12613.481
"sang",1,998604,0.00482821704206818,23849.826
"satans",2,205140,7.91661505252257e-05,336.09955
"save",4,3480930.6,0.0259447056011354,235116.97
"savior",3,546116.96,0.00101360778997919,4699.7476
"saviors",2,91067.435,6.13654776260625e-05,253.1502
"saviour",8,360730.7,0.000358280701584104,1618.9244
"saviours",1,166510.07,3.63883229159736e-05,180.08215
"scorn",1,139594.24,0.000163822403323562,710.7833
"sea",2,2506378.3,0.0114817712958678,73248.664
"sealed",1,342673.2,0.00095353520333212,5646.271
"seated",1,396055.2,0.00066977373976904,2786.5342
"seek",5,1229751.6,0.00497041631220686,30496.398
"seeker",1,556685.2,0.000576160937869862,3357.3657
"seen",2,3547709.7,0.0413843534596048,350404.66
"seized",1,185440.64,0.000591188453306839,4288.765
"send",2,4600524,0.0339077335660487,265317
"seraph",1,101270.74,1.1785919214288e-05,64.93443
"serenely",1,63224.46,2.59889824327782e-05,102.17427
"set",1,4932943.3,0.0376767918330663,325685.4
"shareth",1,5060.5163,7.12026915966527e-07,2.5543568
"shavings",1,78574.27,6.40636848865673e-05,259.46887
"shed",1,885001.85,0.00244907279011813,11868.818
"sheep",1,1224573.2,0.00269342918514759,13546.09
"shelter",1,834629.6,0.00252183069839966,16020.993
"shepherd",3,546329.4,0.000871427257390928,4960.7627
"shepherds",18,296042.27,0.000274186575298373,1295.4622
"shines",1,488376.6,0.00134934721840783,5994.4033
"shineth",1,22366.66,4.49701210084122e-06,17.141077
"shining",3,1370543,0.00380522173932848,17021.291
"shivers",1,299335.08,0.000513540044365648,2172.0771
"shone",2,235515.84,0.000176807525764741,964.068
"shop",1,3376099.3,0.0198522847697686,146490.28
"sighing",1,870093.5,0.000153985189352972,668.0315
"sight",1,1252258.1,0.00515644271277833,23192.484
"sign",1,5213649,0.0298355017332328,221503.92
"silent",8,2099463,0.00597486144003059,29930.61
"silently",2,377268.36,0.000534132612277416,2153.9277
"silver",2,1391409.8,0.00663659677066938,56145.633
"sin",5,2911869.2,0.00818478687413607,60251.156
"sing",30,2981506.3,0.0176947682641884,110131.49
"singing",3,5114512.5,0.0174645774572766,105753.32
"sings",1,822004.8,0.00422795961435798,20765.105
"sinners",2,241846.91,0.000404581188672349,2124.3508
"skies",2,850819.34,0.00274746828055937,14123.105
"sky",4,2695035.4,0.013627689257738,82955.96
"slave",1,1010682.4,0.00214567437371471,10505.263
"sleep",5,15942140,0.0711012277611275,754480.1
